id,title,description,type,style,location,bedrooms,bathrooms,price,view,furnishing
23,"Rustic 2-bedroom Semi-detached House in Greenwich","A rustic semi-detached house located in Greenwich, featuring 2 bedrooms, 3 bathrooms, park view, and is furnished.",Semi-detached House,Rustic,Greenwich,2,3,1611797,Park View,Furnished
24,"Rustic 3-bedroom Studio in Wimbledon","A rustic studio located in Wimbledon, featuring 3 bedrooms, 3 bathrooms, river view, and is unfurnished.",Studio,Rustic,Wimbledon,3,3,533428,River View,Unfurnished
25,"Contemporary 2-bedroom Flat in Wimbledon","A contemporary flat located in Wimbledon, featuring 2 bedrooms, 3 bathrooms, garden view, and is unfurnished.",Flat,Contemporary,Wimbledon,2,3,858662,Garden View,Unfurnished
26,"Mediterranean 4-bedroom House in Battersea","A mediterranean house located in Battersea, featuring 4 bedrooms, 2 bathrooms, with a lake view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",House,Mediterranean,Battersea,4,2,1419143,Lake View,Furnished
27,"Georgian 1-bedroom Studio in Greenwich","A georgian studio located in Greenwich, featuring 1 bedroom, 1 bathroom, with a lake view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Studio,Georgian,Greenwich,1,1,1358749,Lake View,Part-Furnished
28,"Georgian 3-bedroom House in Notting Hill","A georgian house located in Notting Hill, featuring 3 bedrooms, 1 bathroom, with a no view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",House,Georgian,Notting Hill,3,1,1508058,No View,Part-Furnished
29,"Contemporary 3-bedroom Townhouse in Battersea","A contemporary townhouse located in Battersea, featuring 3 bedrooms, 1 bathroom, with a forest view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Townhouse,Contemporary,Battersea,3,1,1255789,Forest View,Furnished
30,"Victorian 1-bedroom Duplex in Richmond","A victorian duplex located in Richmond, featuring 1 bedroom, 2 bathrooms, with a city view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Duplex,Victorian,Richmond,1,2,1558660,City View,Furnished
31,"Traditional 3-bedroom Cottage in Greenwich","A traditional cottage located in Greenwich, featuring 3 bedrooms, 2 bathrooms, with a city view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Cottage,Traditional,Greenwich,3,2,1730975,City View,Unfurnished
32,"Georgian 4-bedroom House in Mayfair","A georgian house located in Mayfair, featuring 4 bedrooms, 4 bathrooms, with a sea view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",House,Georgian,Mayfair,4,4,571918,Sea View,Furnished
33,"Scandinavian 1-bedroom Penthouse in Shoreditch","A scandinavian penthouse located in Shoreditch, featuring 1 bedroom, 1 bathroom, with a sea view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Penthouse,Scandinavian,Shoreditch,1,1,1683016,Sea View,Unfurnished
34,"Rustic 5-bedroom Cottage in Clapham","A rustic cottage located in Clapham, featuring 5 bedrooms, 1 bathroom, with a forest view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Cottage,Rustic,Clapham,5,1,1214444,Forest View,Furnished
35,"Industrial 1-bedroom Townhouse in Camden","A industrial townhouse located in Camden, featuring 1 bedroom, 1 bathroom, with a forest view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Townhouse,Industrial,Camden,1,1,1322385,Forest View,Furnished
36,"Minimalist 5-bedroom Mansion in Hackney","A minimalist mansion located in Hackney, featuring 5 bedrooms, 4 bathrooms, with a garden view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Mansion,Minimalist,Hackney,5,4,1930557,Garden View,Unfurnished
37,"Minimalist 1-bedroom Bungalow in Clapham","A minimalist bungalow located in Clapham, featuring 1 bedroom, 4 bathrooms, with a mountain view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Bungalow,Minimalist,Clapham,1,4,1611032,Mountain View,Furnished
38,"Art Deco 1-bedroom Flat in Notting Hill","A art deco flat located in Notting Hill, featuring 1 bedroom, 2 bathrooms, with a park view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Flat,Art Deco,Notting Hill,1,2,978715,Park View,Furnished
39,"Traditional 2-bedroom Flat in Wimbledon","A traditional flat located in Wimbledon, featuring 2 bedrooms, 4 bathrooms, with a mountain view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Flat,Traditional,Wimbledon,2,4,1460468,Mountain View,Unfurnished
40,"Minimalist 2-bedroom Cottage in Richmond","A minimalist cottage located in Richmond, featuring 2 bedrooms, 2 bathrooms, with a forest view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Cottage,Minimalist,Richmond,2,2,2050348,Forest View,Part-Furnished
41,"Contemporary 1-bedroom Townhouse in Mayfair","A contemporary townhouse located in Mayfair, featuring 1 bedroom, 4 bathrooms, with a forest view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Townhouse,Contemporary,Mayfair,1,4,1197262,Forest View,Part-Furnished
42,"Mediterranean 6-bedroom Bungalow in Islington","A mediterranean bungalow located in Islington, featuring 6 bedrooms, 3 bathrooms, with a sea view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Bungalow,Mediterranean,Islington,6,3,1724419,Sea View,Unfurnished
43,"Contemporary 6-bedroom Studio in Islington","A contemporary studio located in Islington, featuring 6 bedrooms, 1 bathroom, with a garden view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Studio,Contemporary,Islington,6,1,1224089,Garden View,Furnished
44,"Minimalist 2-bedroom Townhouse in Battersea","A minimalist townhouse located in Battersea, featuring 2 bedrooms, 3 bathrooms, with a city view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Townhouse,Minimalist,Battersea,2,3,2288858,City View,Part-Furnished
45,"Contemporary 5-bedroom Townhouse in Battersea","A contemporary townhouse located in Battersea, featuring 5 bedrooms, 1 bathroom, with a sea view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Townhouse,Contemporary,Battersea,5,1,2147681,Sea View,Unfurnished
46,"Minimalist 5-bedroom Studio in Canary Wharf","A minimalist studio located in Canary Wharf, featuring 5 bedrooms, 2 bathrooms, with a sea view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Studio,Minimalist,Canary Wharf,5,2,897234,Sea View,Part-Furnished
47,"Victorian 4-bedroom Cottage in Islington","A victorian cottage located in Islington, featuring 4 bedrooms, 1 bathroom, with a lake view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Cottage,Victorian,Islington,4,1,483069,Lake View,Furnished
48,"Modern 5-bedroom Duplex in Kensington","A modern duplex located in Kensington, featuring 5 bedrooms, 3 bathrooms, with a no view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Duplex,Modern,Kensington,5,3,1441368,No View,Part-Furnished
49,"Art Deco 1-bedroom Mansion in Chelsea","A art deco mansion located in Chelsea, featuring 1 bedroom, 1 bathroom, with a lake view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Mansion,Art Deco,Chelsea,1,1,1041963,Lake View,Unfurnished
50,"Traditional 6-bedroom Studio in Wimbledon","A traditional studio located in Wimbledon, featuring 6 bedrooms, 1 bathroom, with a city view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Studio,Traditional,Wimbledon,6,1,2048873,City View,Part-Furnished
51,"Rustic 3-bedroom Townhouse in Richmond","A rustic townhouse located in Richmond, featuring 3 bedrooms, 4 bathrooms, with a park view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Townhouse,Rustic,Richmond,3,4,2013706,Park View,Furnished
52,"Georgian 1-bedroom House in Notting Hill","A georgian house located in Notting Hill, featuring 1 bedroom, 3 bathrooms, with a mountain view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",House,Georgian,Notting Hill,1,3,2045386,Mountain View,Part-Furnished
53,"Traditional 4-bedroom Duplex in Kensington","A traditional duplex located in Kensington, featuring 4 bedrooms, 4 bathrooms, with a forest view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Duplex,Traditional,Kensington,4,4,703065,Forest View,Part-Furnished
54,"Rustic 5-bedroom Cottage in Camden","A rustic cottage located in Camden, featuring 5 bedrooms, 1 bathroom, with a river view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Cottage,Rustic,Camden,5,1,1981948,River View,Part-Furnished
55,"Georgian 4-bedroom Duplex in Camden","A georgian duplex located in Camden, featuring 4 bedrooms, 3 bathrooms, with a park view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Duplex,Georgian,Camden,4,3,1714349,Park View,Part-Furnished
56,"Traditional 5-bedroom Duplex in Chelsea","A traditional duplex located in Chelsea, featuring 5 bedrooms, 4 bathrooms, with a garden view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Duplex,Traditional,Chelsea,5,4,632458,Garden View,Part-Furnished
57,"Colonial 4-bedroom Flat in Clapham","A colonial flat located in Clapham, featuring 4 bedrooms, 3 bathrooms, with a city view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Flat,Colonial,Clapham,4,3,1917254,City View,Unfurnished
58,"Colonial 4-bedroom House in Fulham","A colonial house located in Fulham, featuring 4 bedrooms, 1 bathroom, with a garden view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",House,Colonial,Fulham,4,1,1312630,Garden View,Part-Furnished
59,"Modern 6-bedroom Bungalow in Mayfair","A modern bungalow located in Mayfair, featuring 6 bedrooms, 3 bathrooms, with a city view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Bungalow,Modern,Mayfair,6,3,1311281,City View,Furnished
60,"Contemporary 3-bedroom Studio in Notting Hill","A contemporary studio located in Notting Hill, featuring 3 bedrooms, 3 bathrooms, with a park view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Studio,Contemporary,Notting Hill,3,3,343846,Park View,Unfurnished
61,"Minimalist 1-bedroom House in Chelsea","A minimalist house located in Chelsea, featuring 1 bedroom, 2 bathrooms, with a sea view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",House,Minimalist,Chelsea,1,2,2047414,Sea View,Unfurnished
62,"Colonial 2-bedroom Studio in Richmond","A colonial studio located in Richmond, featuring 2 bedrooms, 3 bathrooms, with a forest view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Studio,Colonial,Richmond,2,3,595243,Forest View,Furnished
63,"Modern 2-bedroom Duplex in Greenwich","A modern duplex located in Greenwich, featuring 2 bedrooms, 4 bathrooms, with a lake view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Duplex,Modern,Greenwich,2,4,1538101,Lake View,Furnished
64,"Georgian 2-bedroom Duplex in Dulwich","A georgian duplex located in Dulwich, featuring 2 bedrooms, 4 bathrooms, with a city view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Duplex,Georgian,Dulwich,2,4,1089769,City View,Unfurnished
65,"Colonial 3-bedroom Penthouse in Hackney","A colonial penthouse located in Hackney, featuring 3 bedrooms, 4 bathrooms, with a garden view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Penthouse,Colonial,Hackney,3,4,1709236,Garden View,Furnished
66,"Industrial 6-bedroom Townhouse in Brixton","A industrial townhouse located in Brixton, featuring 6 bedrooms, 3 bathrooms, with a park view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Townhouse,Industrial,Brixton,6,3,1531071,Park View,Furnished
67,"Contemporary 6-bedroom Mansion in Brixton","A contemporary mansion located in Brixton, featuring 6 bedrooms, 3 bathrooms, with a sea view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Mansion,Contemporary,Brixton,6,3,2265158,Sea View,Unfurnished
68,"Colonial 4-bedroom Flat in Brixton","A colonial flat located in Brixton, featuring 4 bedrooms, 4 bathrooms, with a no view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Flat,Colonial,Brixton,4,4,1846290,No View,Furnished
69,"Mediterranean 1-bedroom Townhouse in Camden","A mediterranean townhouse located in Camden, featuring 1 bedroom, 4 bathrooms, with a sea view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Townhouse,Mediterranean,Camden,1,4,438093,Sea View,Part-Furnished
70,"Colonial 6-bedroom Studio in Mayfair","A colonial studio located in Mayfair, featuring 6 bedrooms, 3 bathrooms, with a sea view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Studio,Colonial,Mayfair,6,3,1634982,Sea View,Part-Furnished
71,"Modern 2-bedroom Duplex in Wimbledon","A modern duplex located in Wimbledon, featuring 2 bedrooms, 2 bathrooms, with a city view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Duplex,Modern,Wimbledon,2,2,1625231,City View,Furnished
72,"Scandinavian 5-bedroom Penthouse in Islington","A scandinavian penthouse located in Islington, featuring 5 bedrooms, 4 bathrooms, with a city view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Penthouse,Scandinavian,Islington,5,4,1369786,City View,Part-Furnished
73,"Industrial 6-bedroom Townhouse in Mayfair","A industrial townhouse located in Mayfair, featuring 6 bedrooms, 4 bathrooms, with a forest view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Townhouse,Industrial,Mayfair,6,4,1055992,Forest View,Furnished
74,"Modern 2-bedroom Mansion in Notting Hill","A modern mansion located in Notting Hill, featuring 2 bedrooms, 1 bathroom, with a city view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Mansion,Modern,Notting Hill,2,1,2269394,City View,Part-Furnished
75,"Victorian 4-bedroom Mansion in Shoreditch","A victorian mansion located in Shoreditch, featuring 4 bedrooms, 1 bathroom, with a no view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Mansion,Victorian,Shoreditch,4,1,2082466,No View,Part-Furnished
76,"Rustic 4-bedroom Cottage in Camden","A rustic cottage located in Camden, featuring 4 bedrooms, 3 bathrooms, with a lake view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Cottage,Rustic,Camden,4,3,2216457,Lake View,Unfurnished
77,"Scandinavian 1-bedroom Penthouse in Brixton","A scandinavian penthouse located in Brixton, featuring 1 bedroom, 1 bathroom, with a mountain view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Penthouse,Scandinavian,Brixton,1,1,690575,Mountain View,Part-Furnished
78,"Contemporary 5-bedroom Studio in Notting Hill","A contemporary studio located in Notting Hill, featuring 5 bedrooms, 2 bathrooms, with a river view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Studio,Contemporary,Notting Hill,5,2,849753,River View,Unfurnished
79,"Scandinavian 6-bedroom Townhouse in Clapham","A scandinavian townhouse located in Clapham, featuring 6 bedrooms, 3 bathrooms, with a garden view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Townhouse,Scandinavian,Clapham,6,3,384090,Garden View,Furnished
80,"Industrial 1-bedroom Duplex in Chelsea","A industrial duplex located in Chelsea, featuring 1 bedroom, 4 bathrooms, with a no view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Duplex,Industrial,Chelsea,1,4,1414348,No View,Unfurnished
81,"Colonial 3-bedroom Duplex in Dulwich","A colonial duplex located in Dulwich, featuring 3 bedrooms, 1 bathroom, with a mountain view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Duplex,Colonial,Dulwich,3,1,1414876,Mountain View,Unfurnished
82,"Georgian 3-bedroom Penthouse in Clapham","A georgian penthouse located in Clapham, featuring 3 bedrooms, 1 bathroom, with a forest view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Penthouse,Georgian,Clapham,3,1,501185,Forest View,Furnished
83,"Contemporary 5-bedroom Studio in Brixton","A contemporary studio located in Brixton, featuring 5 bedrooms, 2 bathrooms, with a garden view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Studio,Contemporary,Brixton,5,2,607751,Garden View,Furnished
84,"Victorian 4-bedroom Townhouse in Wimbledon","A victorian townhouse located in Wimbledon, featuring 4 bedrooms, 3 bathrooms, with a mountain view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Townhouse,Victorian,Wimbledon,4,3,725761,Mountain View,Furnished
85,"Victorian 4-bedroom Penthouse in Notting Hill","A victorian penthouse located in Notting Hill, featuring 4 bedrooms, 3 bathrooms, with a lake view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Penthouse,Victorian,Notting Hill,4,3,714939,Lake View,Part-Furnished
86,"Traditional 2-bedroom Bungalow in Richmond","A traditional bungalow located in Richmond, featuring 2 bedrooms, 1 bathroom, with a mountain view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Bungalow,Traditional,Richmond,2,1,756225,Mountain View,Part-Furnished
87,"Georgian 1-bedroom Cottage in Richmond","A georgian cottage located in Richmond, featuring 1 bedroom, 1 bathroom, with a sea view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Cottage,Georgian,Richmond,1,1,848121,Sea View,Furnished
88,"Victorian 5-bedroom Studio in Camden","A victorian studio located in Camden, featuring 5 bedrooms, 3 bathrooms, with a sea view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Studio,Victorian,Camden,5,3,844709,Sea View,Furnished
89,"Modern 5-bedroom Mansion in Mayfair","A modern mansion located in Mayfair, featuring 5 bedrooms, 3 bathrooms, with a mountain view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Mansion,Modern,Mayfair,5,3,421964,Mountain View,Unfurnished
90,"Minimalist 3-bedroom Duplex in Mayfair","A minimalist duplex located in Mayfair, featuring 3 bedrooms, 1 bathroom, with a river view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Duplex,Minimalist,Mayfair,3,1,1063344,River View,Part-Furnished
91,"Rustic 5-bedroom Flat in Hammersmith","A rustic flat located in Hammersmith, featuring 5 bedrooms, 1 bathroom, with a park view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Flat,Rustic,Hammersmith,5,1,1456981,Park View,Unfurnished
92,"Scandinavian 3-bedroom Studio in Shoreditch","A scandinavian studio located in Shoreditch, featuring 3 bedrooms, 3 bathrooms, with a river view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Studio,Scandinavian,Shoreditch,3,3,1820047,River View,Unfurnished
93,"Colonial 2-bedroom Mansion in Richmond","A colonial mansion located in Richmond, featuring 2 bedrooms, 2 bathrooms, with a mountain view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Mansion,Colonial,Richmond,2,2,418116,Mountain View,Furnished
94,"Georgian 1-bedroom Mansion in Battersea","A georgian mansion located in Battersea, featuring 1 bedroom, 4 bathrooms, with a city view, and is furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Mansion,Georgian,Battersea,1,4,781759,City View,Furnished
95,"Modern 5-bedroom Cottage in Battersea","A modern cottage located in Battersea, featuring 5 bedrooms, 4 bathrooms, with a lake view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Cottage,Modern,Battersea,5,4,1641328,Lake View,Part-Furnished
96,"Modern 4-bedroom Mansion in Camden","A modern mansion located in Camden, featuring 4 bedrooms, 4 bathrooms, with a mountain view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Mansion,Modern,Camden,4,4,662462,Mountain View,Part-Furnished
97,"Mediterranean 3-bedroom Duplex in Dulwich","A mediterranean duplex located in Dulwich, featuring 3 bedrooms, 2 bathrooms, with a no view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Duplex,Mediterranean,Dulwich,3,2,767541,No View,Unfurnished
98,"Colonial 2-bedroom Townhouse in Wimbledon","A colonial townhouse located in Wimbledon, featuring 2 bedrooms, 4 bathrooms, with a garden view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Townhouse,Colonial,Wimbledon,2,4,1192706,Garden View,Part-Furnished
99,"Traditional 1-bedroom House in Camden","A traditional house located in Camden, featuring 1 bedroom, 4 bathrooms, with a city view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",House,Traditional,Camden,1,4,1221181,City View,Unfurnished
100,"Rustic 3-bedroom Duplex in Hackney","A rustic duplex located in Hackney, featuring 3 bedrooms, 1 bathroom, with a sea view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Duplex,Rustic,Hackney,3,1,808778,Sea View,Unfurnished
101,"Mediterranean 4-bedroom House in Camden","A mediterranean house located in Camden, featuring 4 bedrooms, 1 bathroom, with a river view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",House,Mediterranean,Camden,4,1,987105,River View,Part-Furnished
102,"Modern 1-bedroom Cottage in Chelsea","A modern cottage located in Chelsea, featuring 1 bedroom, 3 bathrooms, with a mountain view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Cottage,Modern,Chelsea,1,3,2265907,Mountain View,Unfurnished
103,"Victorian 1-bedroom Mansion in Kensington","A victorian mansion located in Kensington, featuring 1 bedroom, 3 bathrooms, with a lake view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Mansion,Victorian,Kensington,1,3,548152,Lake View,Part-Furnished
104,"Traditional 2-bedroom Studio in Richmond","A traditional studio located in Richmond, featuring 2 bedrooms, 1 bathroom, with a park view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Studio,Traditional,Richmond,2,1,658900,Park View,Unfurnished
105,"Traditional 3-bedroom Studio in Chelsea","A traditional studio located in Chelsea, featuring 3 bedrooms, 3 bathrooms, with a forest view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Studio,Traditional,Chelsea,3,3,2039689,Forest View,Unfurnished
106,"Georgian 2-bedroom Townhouse in Islington","A georgian townhouse located in Islington, featuring 2 bedrooms, 2 bathrooms, with a river view, and is part-furnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Townhouse,Georgian,Islington,2,2,590471,River View,Part-Furnished
107,"Victorian 3-bedroom Penthouse in Mayfair","A victorian penthouse located in Mayfair, featuring 3 bedrooms, 3 bathrooms, with a forest view, and is unfurnished. This property offers a great blend of style and comfort with modern amenities and an ideal location.",Penthouse,Victorian,Mayfair,3,3,987380,Forest View,Unfurnished
